"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.482359500E-2,3.107577562E-3,-9.732134640E-5,1.452255249E-1
4.486383700E-2,3.807708621E-3,-2.216853201E-3,3.098850250E-1
5.490407700E-2,8.996091783E-4,-1.980528235E-3,2.183580399E-1
6.494431700E-2,-6.207571179E-2,-8.566498756E-3,-2.823734283E-2
7.498455700E-2,-2.465281636E-3,2.925663441E-2,-2.700548172E-1
8.502479700E-2,5.093106627E-2,4.901181534E-2,-3.203306198E-1
9.509555500E-2,1.241519302E-1,9.051946551E-2,-1.742610931E-1
1.051357950E-1,2.167005837E-1,6.983882189E-2,7.957458496E-2
1.151760360E-1,8.407311141E-2,1.217834800E-1,4.172182083E-1
1.252162770E-1,7.766208053E-2,1.268774867E-1,5.010681152E-1
1.352565170E-1,-3.631040454E-3,1.475961208E-1,4.962968826E-1
1.452967570E-1,4.107397795E-2,1.594970673E-1,2.496423721E-1
1.553369970E-1,2.819934487E-2,1.322602779E-1,5.084323883E-2
1.653772380E-1,3.460821509E-2,1.230885983E-1,-2.437286377E-1
1.754479950E-1,3.652613610E-2,7.933586836E-2,-3.275928497E-1
1.854882360E-1,-6.682962179E-3,2.933848649E-2,-3.826951981E-1
1.955284760E-1,3.659971803E-2,7.553331554E-3,-2.390451431E-1
2.055687170E-1,-2.378020436E-4,1.066505909E-3,-9.028530121E-2
2.156089570E-1,6.926371902E-2,-4.145972431E-3,6.781196594E-2
2.256491970E-1,2.856837399E-2,2.525769919E-2,2.019863129E-1
2.356894380E-1,1.006389484E-1,4.877402633E-2,1.829233170E-1
2.457296780E-1,1.035727635E-1,6.775597483E-2,2.500238419E-1
2.558004360E-1,1.589596272E-3,-6.715245545E-4,1.562290192E-1
2.658406760E-1,2.070643008E-3,-5.507506430E-4,1.683073044E-1
2.758809160E-1,-2.595037222E-5,-1.084990799E-5,1.204776764E-2
2.859211570E-1,3.612710908E-2,-3.114813380E-2,-6.696701050E-2
2.959613970E-1,-1.336666569E-2,-9.799855761E-3,-1.818952560E-1
3.060016380E-1,9.569232911E-2,5.222373176E-3,-1.459894180E-1
3.160418780E-1,4.388354346E-2,1.024821773E-2,-3.346347809E-2
3.260821180E-1,7.970549911E-2,1.391910203E-2,2.639389038E-2
3.361528760E-1,5.606494844E-2,-2.269928530E-2,1.987781525E-1
3.461931160E-1,6.043291837E-2,-1.671291701E-2,1.173782349E-1
3.562333560E-1,7.924880087E-2,-6.034205854E-2,1.796398163E-1
3.662735960E-1,3.712642193E-2,-2.442913316E-2,5.275154114E-2
3.763138380E-1,8.664648235E-2,-2.887235954E-2,4.318714142E-2
3.863540780E-1,1.179395616E-2,-2.708286047E-3,2.488136292E-3
3.963943180E-1,8.192077279E-2,1.482400950E-2,1.446723938E-2
4.064345580E-1,1.557323709E-2,4.992917180E-2,9.587001801E-2
4.164747980E-1,6.308123469E-2,6.121381372E-2,8.629894257E-2
4.265455560E-1,1.840469614E-2,1.207851525E-2,2.179861069E-1
4.365857960E-1,2.119431645E-2,-1.513617858E-2,6.476688385E-2
4.466260370E-1,5.220760033E-2,-4.902803153E-2,3.365707397E-2
4.566662780E-1,-3.821030259E-5,-4.683276638E-2,-1.434984207E-1
4.667065180E-1,7.957527041E-2,-1.100838110E-1,-2.105112076E-1
4.767467580E-1,1.584204286E-2,-9.742994606E-2,-3.301725388E-1
4.867869980E-1,7.678213716E-2,-8.154095709E-2,-3.109359741E-1
4.968272390E-1,2.279938012E-2,-8.065528423E-2,-1.958780289E-1
5.068979960E-1,1.439039037E-2,-4.464852810E-2,-1.023187637E-1
5.169382370E-1,8.537802845E-3,-3.640997410E-2,1.373376846E-1
5.269784770E-1,1.925978065E-2,-7.347106934E-3,1.902761459E-1
5.370187180E-1,5.577411875E-2,-1.667305827E-2,3.485593796E-1
5.470589580E-1,-4.145026207E-3,1.824389398E-2,2.482347488E-1
5.570991980E-1,7.356658578E-2,-3.162489831E-2,2.268295288E-1
5.671699560E-1,-2.494886518E-2,-3.443719447E-2,9.283924103E-2
5.772101960E-1,6.650751829E-2,-3.926838934E-2,9.086608887E-3
5.872504370E-1,3.694757447E-2,-1.825039089E-2,9.118080139E-3
5.972906770E-1,9.294301271E-2,1.261723042E-2,-5.069828033E-2
6.073309170E-1,5.146063119E-2,3.689447045E-2,1.073684692E-1
6.174016750E-1,4.097679257E-2,2.401098609E-2,6.195354462E-2
6.274419160E-1,5.127171427E-2,3.300671279E-2,7.879829407E-2
6.374821560E-1,4.133187979E-2,3.985857964E-2,6.213474274E-2
6.475223960E-1,-2.038586885E-3,2.839976549E-2,0.000000000E0
6.575626370E-1,1.190819778E-2,2.288728952E-2,-1.075935364E-1
6.676028770E-1,1.432724483E-2,1.691767573E-2,-2.055625916E-1
6.776736350E-1,6.363466382E-2,3.508096933E-2,-1.693897247E-1
6.877138750E-1,1.170070693E-1,2.687804401E-2,3.924179077E-2
6.977541150E-1,1.034778357E-1,-2.190154791E-2,2.311954498E-1
7.077943560E-1,4.873298109E-2,-1.138153672E-1,1.861486435E-1
7.178345960E-1,-1.950362325E-2,-1.462202668E-1,2.182960510E-3
7.278748370E-1,-1.136765908E-2,-1.371072829E-1,-1.722373962E-1
7.379455940E-1,2.564434893E-2,-1.064963937E-1,-2.939739227E-1
7.479858350E-1,9.176071733E-2,-6.741490960E-2,-2.384815216E-1
7.580260750E-1,1.315462291E-1,-4.580464959E-2,-4.644393921E-2
7.680663150E-1,1.040999517E-1,-6.414473057E-3,1.935367584E-1
7.781065550E-1,5.963955820E-2,3.978168964E-2,3.712787628E-1
7.881467960E-1,-4.114577547E-3,7.648575306E-2,4.603672028E-1
7.981870370E-1,-2.487631142E-2,7.647657394E-2,3.529167175E-1
8.082577940E-1,1.441652421E-2,7.037529349E-2,2.165899277E-1
8.182980350E-1,-1.336212270E-3,3.081983328E-2,2.270507812E-2
8.283382750E-1,1.900139451E-2,-2.157598734E-3,-1.209249496E-1
8.383785150E-1,-1.554558333E-2,-5.062702298E-2,-2.309837341E-1
8.484187550E-1,-1.436725538E-2,-7.725802064E-2,-2.547388077E-1
8.584589950E-1,-1.265311847E-3,-9.060811996E-2,-2.352380753E-1
8.685297530E-1,4.714421555E-2,-9.417170286E-2,-1.987514496E-1
8.785699940E-1,3.177597001E-2,-5.673512816E-2,-1.262111664E-1
8.886102350E-1,5.252020061E-2,-5.172395706E-2,-2.474880219E-2
8.986504750E-1,6.228064746E-2,-2.238303423E-2,9.832096100E-2
9.086907150E-1,7.440309227E-2,-7.057785988E-4,2.046470642E-1
9.187614730E-1,5.509388819E-2,1.006478071E-2,2.486896515E-1
9.288017130E-1,1.827703230E-2,1.611542702E-2,2.830600739E-1
9.388419530E-1,-4.650680348E-3,5.691647530E-4,1.521177292E-1
9.488821930E-1,6.067045499E-3,-1.004981995E-2,-5.274772644E-3
9.589224350E-1,2.932224795E-2,2.221107483E-3,-1.387729645E-1
9.689626750E-1,7.712927461E-2,-3.226220608E-3,-2.171077728E-1
9.790029150E-1,7.724049687E-2,-6.377220154E-3,-1.707897186E-1
9.890736730E-1,5.749719590E-2,-3.276902437E-2,-9.313488007E-2
9.991139130E-1,4.960712790E-2,-1.651817560E-2,3.974246979E-2
1.009154153E0,4.668713734E-2,-1.359248161E-2,8.892822266E-2
1.019194393E0,6.526452303E-2,3.996074200E-3,1.405687332E-1
1.029234634E0,9.452865273E-2,-5.492210388E-3,1.754341125E-1
1.039274875E0,8.115783334E-2,-1.552343369E-3,1.719627380E-1
1.049315115E0,7.037014514E-2,9.922564030E-3,1.324625015E-1
1.059385873E0,8.071350306E-2,-5.967497826E-3,6.178474426E-2
1.069426113E0,4.860074818E-2,-1.258075237E-3,-8.940696716E-3
1.079466353E0,2.658076212E-2,-2.795463800E-2,-3.178024292E-2
1.089506593E0,2.154872939E-2,-2.103650570E-2,-4.980278015E-2
1.099546834E0,1.902854070E-2,-5.376446247E-2,-6.053543091E-2
1.109587074E0,-4.711002111E-3,-5.738824606E-2,-9.275817871E-2
1.119657832E0,1.895415410E-2,-5.935788155E-2,-9.848117828E-2
1.129698072E0,5.547677726E-2,-5.957967043E-2,-1.040267944E-1
1.139738313E0,3.960475698E-2,-4.532599449E-2,-8.079433441E-2
1.149778553E0,1.960841194E-2,-2.393960953E-2,-3.597736359E-2
1.159818793E0,1.173326969E-1,-6.977760792E-2,-2.064056396E-1
1.169859034E0,6.628606468E-3,-1.653099060E-2,1.573085785E-2
1.179899274E0,5.820935220E-2,-4.886704683E-2,3.924751282E-2
1.189970032E0,-1.656461135E-2,-4.812359810E-2,1.488208771E-2
1.200010272E0,2.960686572E-2,-3.989225626E-2,-5.730247498E-2
1.210050512E0,-2.236782014E-2,-2.944242954E-2,-5.045318604E-2
1.220090753E0,3.527865559E-2,-3.006613255E-2,-1.679687500E-1
1.230130993E0,1.005276293E-2,-2.545797825E-2,-4.596519470E-2
1.240171234E0,4.276712984E-2,8.717179298E-3,-1.240444183E-2
1.250211474E0,8.613136411E-2,2.189338207E-2,2.152051926E-1
1.260282232E0,9.340247512E-2,-2.513146400E-2,2.010154724E-1
1.270322472E0,2.076395974E-2,7.320523262E-3,2.752313614E-1
1.280362712E0,2.963468432E-5,1.571643353E-2,2.031402588E-1
1.290402952E0,-1.350350678E-2,2.413988113E-3,1.044387817E-1
1.300443193E0,-1.936463267E-2,1.235139370E-2,-4.220294952E-2
1.310483434E0,-5.580790341E-3,-3.724575043E-3,-2.414512634E-1
1.320523674E0,4.015596956E-2,-1.755869389E-2,-3.302564621E-1
1.330594432E0,1.153383255E-1,-2.356231213E-2,-2.462520599E-1
1.340634672E0,1.475370228E-1,-2.130794525E-2,-6.598377228E-2
1.350674912E0,1.290052831E-1,-5.738508701E-2,3.804206848E-2
1.360715152E0,7.895556092E-2,-8.069789410E-2,6.084156036E-2
1.370755392E0,1.537796855E-2,-8.369827271E-2,6.198596954E-2
1.380795634E0,-1.774677634E-2,-6.353187561E-2,2.717208862E-2
1.390866391E0,2.327878773E-2,-3.546345234E-2,-9.879779816E-2
1.400906632E0,5.073979124E-2,-2.453684807E-2,-1.433563232E-1
1.410946872E0,9.268321097E-2,2.196764946E-2,-6.340980530E-2
1.420987112E0,1.148016825E-1,5.931115150E-2,9.527397156E-2
1.431027352E0,5.969784036E-2,7.775902748E-2,3.142986298E-1
1.441067592E0,-8.486650884E-3,6.845974922E-2,3.631658554E-1
1.451138350E0,-9.504081309E-2,5.121898651E-2,2.320051193E-1
1.461178590E0,-1.206325889E-1,9.985685349E-3,6.179332733E-2
1.471218832E0,-1.728088558E-1,-1.614260674E-2,-4.162693024E-2
1.481259072E0,3.933377564E-3,1.254088879E-1,-4.207324982E-2
1.491299312E0,2.656577900E-2,1.431349516E-1,-1.127719879E-2
1.501339552E0,9.821900725E-2,9.471130371E-2,-4.736232758E-2
1.511379792E0,2.317350805E-1,6.102228165E-2,-2.389736176E-1
1.521450550E0,2.313463390E-1,2.333343029E-2,-2.077512741E-1
1.531490790E0,2.244122475E-1,1.653575897E-2,-2.536487579E-2
1.541531031E0,3.355756998E-1,-2.722072601E-2,9.309005737E-2
1.551571272E0,4.828345776E-1,-1.090456247E-1,2.140426636E-1
1.561611512E0,4.369135499E-1,-1.533117294E-1,3.229713440E-1
