"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.435900000E-2,-1.100662708E0,-5.413663387E-1,-3.425331116E-1
3.441169300E-2,-9.984385967E-1,-8.500685692E-1,3.031902313E-1
5.465784600E-2,-8.660162687E-1,-1.035155177E0,-6.050205231E-2
7.497800000E-2,-3.493324220E-1,-1.250882506E0,-3.741102219E-1
9.470446200E-2,2.126248330E-1,-9.618895054E-1,-5.031681061E-1
1.147655390E-1,1.820395142E-1,-1.032505274E0,6.868562698E-1
1.348840000E-1,1.248342991E0,-4.638792276E-1,-9.642877579E-1
1.549849620E-1,-5.261842012E-1,-8.967443705E-1,-1.384337425E0
1.750535770E-1,-2.623412848E0,-1.387710690E0,-1.848404884E0
1.951465390E-1,-5.629712343E-1,1.136496782E0,2.992362976E-1
2.152372690E-1,-1.906172752E0,-2.138460875E0,9.598903656E-1
2.353278080E-1,-1.026138306E0,-3.532899380E0,1.401209831E0
2.554781150E-1,7.635941505E-1,-2.663832188E0,7.751522064E-1
2.755114620E-1,2.068278551E0,-2.089964390E0,4.543428421E-1
2.955993080E-1,1.277975082E0,-1.716834068E0,-1.699123383E-1
3.157053080E-1,-1.520864964E-1,-7.555463314E-1,7.154178619E-2
3.358021540E-1,-4.858688116E-1,-7.239084244E-1,-1.989545822E-1
3.559477310E-1,-7.144151926E-1,-3.355942965E-1,-6.751985550E-1
3.759711920E-1,-1.037399769E-1,1.213494062E0,-2.873420715E-1
3.960932310E-1,1.326918602E0,3.115467072E0,5.493259430E-2
4.161397690E-1,1.913755298E0,4.748274803E0,-4.426498413E-1
4.362505000E-1,4.133519828E-1,3.534707069E0,1.274547577E-1
4.563295770E-1,-4.962179661E-1,2.383017063E0,1.281986237E-1
4.764227690E-1,-9.500917792E-2,9.883592725E-1,-3.068704605E-1
4.965078840E-1,-1.161615103E-1,5.172813535E-1,-8.252811432E-2
5.166069610E-1,1.178287938E-1,3.843565583E-1,4.611654282E-1
5.367198840E-1,-1.999411881E-1,-2.741496563E-1,2.813692093E-1
5.568538840E-1,-5.663865805E-1,-8.281903267E-1,-1.287508011E-1
5.769046920E-1,-1.383878589E-1,-1.038948536E0,4.496860504E-2
5.969849230E-1,-3.288483322E-1,-7.640477419E-1,-1.126022339E-1
6.170516920E-1,-1.786917746E-1,-5.031663179E-1,2.017498016E-2
6.372201150E-1,1.341456175E-2,-3.164361715E-1,-1.310977936E-1
6.572511920E-1,7.346424460E-2,-2.184284925E-1,-4.040718079E-3
6.773580000E-1,3.347006440E-2,-1.292679310E-1,-4.127120972E-2
6.974632310E-1,5.637970567E-2,-4.732108116E-2,-1.153135300E-1
7.175400380E-1,2.631513178E-1,-2.142190933E-3,1.090812683E-2
7.376134230E-1,4.463222027E-1,-3.208434582E-2,1.890697479E-1
7.577013460E-1,3.747701049E-1,6.072998047E-3,2.006444931E-1
7.777952690E-1,1.637994051E-1,2.669620514E-2,1.772146225E-1
7.978958460E-1,-1.362103820E-1,2.845752239E-2,3.112220764E-2
8.180003070E-1,-3.267145157E-1,3.021669388E-2,-1.239299774E-1
8.380833070E-1,-4.888181090E-1,8.845078945E-2,-1.184082031E-1
8.581729230E-1,-3.924060166E-1,2.006720304E-1,-9.888076782E-2
8.782743070E-1,-8.861914277E-2,2.084769011E-1,-5.098915100E-2
8.983541920E-1,-6.404358149E-1,-5.038690567E-2,3.178558350E-1
9.184576920E-1,-1.171518564E0,-1.713176966E-1,2.654523849E-1
9.386079230E-1,-1.001053572E0,3.195202351E-2,-5.258951187E-1
9.586586920E-1,-3.707387149E-1,2.151435614E-1,-4.099788666E-1
9.787201150E-1,4.935477376E-1,1.296737194E-1,2.255363464E-1
9.988751150E-1,8.713058233E-1,-1.324886084E-1,2.040901184E-1
1.018914692E0,4.427406788E-1,-2.355089188E-1,9.509086609E-2
1.039034807E0,-2.671629190E-1,-2.153205872E-1,1.637973785E-1
1.059106615E0,-9.320921898E-1,-1.006534100E-1,-3.317070007E-2
1.079205615E0,-1.059846878E0,1.555529833E-1,-1.584663391E-1
1.099310384E0,-7.805525064E-1,3.437218070E-1,-1.067142487E-1
1.119383999E0,-2.065594196E-1,3.499621749E-1,-2.209568024E-2
1.139488846E0,2.982391417E-1,6.697416306E-3,-6.460285187E-2
1.159578538E0,3.999248147E-1,-2.817859650E-1,1.213026047E-1
1.179683269E0,1.798113585E-1,-2.830680609E-1,1.408576965E-3
1.199805038E0,-1.150799990E-1,-1.248747110E-1,-2.593708038E-2
1.219850346E0,-2.764098346E-1,7.590889931E-3,4.827785492E-2
1.239958884E0,-2.370444536E-1,3.823637962E-2,-1.386528015E-1
1.260112576E0,-1.084250808E-1,-4.247617722E-2,1.512708664E-1
1.280159115E0,-1.335844994E-1,-3.294944763E-2,-1.005554199E-1
1.300215153E0,-4.015263915E-2,6.441557407E-2,-1.514005661E-1
1.320297692E0,-6.023350358E-2,-2.550613880E-2,3.015193939E-1
1.340440307E0,-9.939932823E-2,-8.676147461E-2,6.660270691E-2
1.360487615E0,-5.523672700E-2,-2.227830887E-2,-1.531782150E-1
1.380961884E0,-3.279089928E-3,6.854546070E-2,-3.472995758E-2
1.400665307E0,-4.714876413E-2,2.216254473E-1,-1.226425171E-2
1.420782307E0,-9.401500225E-2,2.536135316E-1,-2.145862579E-2
1.440916461E0,-1.359027028E-1,1.272169352E-1,2.377891541E-2
1.461003768E0,-1.608970165E-1,-2.119028568E-2,4.621219635E-2
1.481015153E0,-1.548995674E-1,-1.026722193E-1,3.156471252E-2
1.501126461E0,-1.158535779E-1,-9.612202644E-2,-1.203346252E-2
1.521250499E0,-1.311053932E-1,-5.726492405E-2,1.182584763E-1
1.541286691E0,-9.987077117E-2,-5.899918079E-2,-2.163524628E-1
1.561452499E0,-6.401517987E-2,-8.953011036E-2,4.278564453E-2
1.581471191E0,-1.591172814E-2,-1.169039011E-1,7.688617706E-2
1.601574768E0,-2.195274830E-2,-5.051445961E-2,3.605175018E-2
1.621675538E0,-5.188116431E-2,1.213920116E-2,-2.201461792E-2
1.641752461E0,-3.520616889E-2,6.072258949E-2,1.816558838E-2
1.661844268E0,-4.474565387E-2,6.330251694E-2,1.758384705E-2
1.681924884E0,-6.066632271E-2,3.468048573E-2,2.211761475E-2
1.702085384E0,-3.348773718E-2,3.606092930E-2,-3.304386139E-2
1.722107884E0,-5.089789629E-2,-7.525086403E-3,2.921295166E-2
1.742192230E0,-4.021042585E-2,-4.809117317E-2,7.727622986E-3
1.762281230E0,-5.428951979E-2,-3.899180889E-2,-4.489803314E-2
1.782386922E0,-9.253606200E-2,-1.054012775E-2,2.469539642E-2
1.802471230E0,-4.185453057E-2,-1.764607430E-2,1.469240189E-1
1.822679345E0,-3.789031506E-2,7.996201515E-3,-1.024951935E-1
1.842722960E0,-3.912395239E-2,5.122947693E-2,-4.536724091E-2
1.862751807E0,-5.833163857E-2,6.656348705E-2,-6.909179688E-2
1.882808114E0,-7.841140032E-3,4.680621624E-2,3.449058533E-2
1.902936383E0,3.219789267E-2,-5.187177658E-2,2.058944702E-1
1.923009922E0,-6.850221753E-2,-5.544400215E-2,-2.366809845E-1
1.943076191E0,-7.894551754E-2,-4.422712326E-2,4.233551025E-2
1.963158230E0,1.781135798E-3,-1.095795631E-2,1.373910904E-1
1.983272191E0,-2.795556188E-2,4.659175873E-2,2.295684814E-2
2.003396845E0,9.185969830E-3,7.436048985E-2,-2.830505371E-3
2.023446576E0,1.659274101E-2,6.432497501E-2,-1.787090302E-2
2.043526537E0,-3.937599063E-2,2.461481094E-2,2.991867065E-2
2.063627653E0,-6.081837416E-2,-1.540040970E-2,2.506923676E-2
2.083729499E0,-5.399465561E-2,-2.959716320E-2,-1.368713379E-2
2.103806191E0,-4.669165611E-2,-3.781378269E-2,8.379459381E-2
2.123919806E0,-2.925318480E-2,-4.021990299E-2,7.327938080E-2
2.143972499E0,1.856595278E-2,-1.400852203E-2,6.239128113E-2
2.164067345E0,-1.976093650E-2,4.577267170E-2,8.422851562E-3
2.184151268E0,3.829076886E-2,1.423954964E-2,-1.478357315E-1
2.204245114E0,6.028249860E-2,-6.148159504E-2,1.112022400E-1
2.224375806E0,3.687438369E-2,-6.457626820E-2,3.714466095E-2
2.244427229E0,4.050970078E-3,-1.721906662E-2,2.230739594E-2
2.264594922E0,-4.460909963E-2,2.554512024E-2,-2.356338501E-2
2.284614306E0,-5.265572667E-2,4.215240479E-3,1.493263245E-2
2.304723114E0,-4.122880101E-2,-1.866889000E-2,3.201484680E-3
2.324922537E0,-5.277943611E-2,-3.870308399E-2,-1.077556610E-2
2.344889152E0,-4.766309261E-2,-5.713677406E-2,-3.681755066E-2
